i,entry_short,entry_long,exit_short_threshold,exit_long_threshold,position_timeout,multiple_entries,capital_percent,total_short_return,total_long_return,total_return,positions,balance,roi
3,1.0,0.95,0.95,0.95,14 days 00:00:00,False,0.7000000000000001,-8.104958632389515,1.0030086734836703,-7.101949958905845,1110,3.0049053207875395e-05,-65.03793768342364
3,1.0,0.95,0.95,0.95,14 days 00:00:00,True,0.8,-238.0780579086691,2.173976522149278,-235.90408138651983,12450,2.1994616638913448e-133,-99.99999999999591
3,1.0,0.95,0.95,0.95,14 days 00:00:00,False,0.8,-8.104958632389515,1.0030086734836703,-7.101949958905845,1110,-1.422426623529612e-06,0
3,1.0,0.95,0.95,0.95,14 days 00:00:00,True,0.9,-238.0780579086691,2.173976522149278,-235.90408138651983,12450,-6.868369494338677e-169,0
3,1.0,0.95,0.95,0.95,14 days 00:00:00,False,0.9,-8.104958632389515,1.0030086734836703,-7.101949958905845,1110,-5.3800346111547865e-09,0
3,1.0,0.95,0.95,0.96,14 days 00:00:00,True,0.1,-238.0780579086691,2.2589835696411495,-235.81907433902796,12450,1.8495723055358737e-11,-91.74395634860826
3,1.0,0.95,0.95,0.96,14 days 00:00:00,False,0.1,-8.104958632389515,1.0880157209755417,-7.016942911413973,1110,0.46696024828884053,-7.397682969098717
3,1.0,0.95,0.95,0.96,14 days 00:00:00,True,0.2,-238.0780579086691,2.2589835696411495,-235.81907433902796,12450,2.895541509706435e-23,-99.46873650225689
3,1.0,0.95,0.95,0.96,14 days 00:00:00,False,0.2,-8.104958632389515,1.0880157209755417,-7.016942911413973,1110,0.19066405585591453,-15.40189223905336
3,1.0,0.95,0.95,0.96,14 days 00:00:00,True,0.30000000000000004,-238.0780579086691,2.2589835696411495,-235.81907433902796,12450,2.6250554032427484e-36,-99.97435647589292
3,1.0,0.95,0.95,0.96,14 days 00:00:00,False,0.30000000000000004,-8.104958632389515,1.0880157209755417,-7.016942911413973,1110,0.06613575684291548,-23.97581974219546
3,1.0,0.95,0.95,0.96,14 days 00:00:00,True,0.4,-238.0780579086691,2.2589835696411495,-235.81907433902796,12450,8.261960001009526e-51,-99.99911824475564
3,1.0,0.95,0.95,0.96,14 days 00:00:00,False,0.4,-8.104958632389515,1.0880157209755417,-7.016942911413973,1110,0.018655245359038553,-33.09178731716025
3,1.0,0.95,0.95,0.96,14 days 00:00:00,True,0.5,-238.0780579086691,2.2589835696411495,-235.81907433902796,12450,4.360595630000608e-67,-99.99997993095555
3,1.0,0.95,0.95,0.96,14 days 00:00:00,False,0.5,-8.104958632389515,1.0880157209755417,-7.016942911413973,1110,0.003977219876654917,-42.7552104916343
3,1.0,0.95,0.95,0.96,14 days 00:00:00,True,0.6,-238.0780579086691,2.2589835696411495,-235.81907433902796,12450,1.2426571735446583e-85,-99.9999997303251
3,1.0,0.95,0.95,0.96,14 days 00:00:00,False,0.6,-8.104958632389515,1.0880157209755417,-7.016942911413973,1110,0.0005535061251036632,-53.0865416806916
3,1.0,0.95,0.95,0.96,14 days 00:00:00,True,0.7000000000000001,-238.0780579086691,2.2589835696411495,-235.81907433902796,12450,2.1331350733812614e-107,-99.99999999828542
3,1.0,0.95,0.95,0.96,14 days 00:00:00,False,0.7000000000000001,-8.104958632389515,1.0880157209755417,-7.016942911413973,1110,3.1902805921180635e-05,-64.82606820394889
3,1.0,0.95,0.95,0.96,14 days 00:00:00,True,0.8,-238.0780579086691,2.2589835696411495,-235.81907433902796,12450,2.35534320371374e-133,-99.99999999999588
3,1.0,0.95,0.95,0.96,14 days 00:00:00,False,0.8,-8.104958632389515,1.0880157209755417,-7.016942911413973,1110,-1.5232376792530836e-06,0
3,1.0,0.95,0.95,0.96,14 days 00:00:00,True,0.9,-238.0780579086691,2.2589835696411495,-235.81907433902796,12450,-7.418868648221985e-169,0
3,1.0,0.95,0.95,0.96,14 days 00:00:00,False,0.9,-8.104958632389515,1.0880157209755417,-7.016942911413973,1110,-5.811243867404504e-09,0
3,1.0,0.95,0.95,0.97,14 days 00:00:00,True,0.1,-238.0780579086691,2.4784451962890897,-235.59961271238,12450,1.8902537760863018e-11,-91.72580775874547
3,1.0,0.95,0.95,0.97,14 days 00:00:00,False,0.1,-8.104958632389515,1.2884468469216184,-6.816511785467896,1104,0.476321198592821,-7.211995987250797
3,1.0,0.95,0.95,0.97,14 days 00:00:00,True,0.2,-238.0780579086691,2.4784451962890897,-235.59961271238,12450,3.02318404713045e-23,-99.46641845686415
